	intensity_height	retention_time	spectrum	adduct	precursor_mz	peak_id
485	1725964.875	5.157542	51.09525:1912 52.85787:1841 54.26189:1762 64.10278:12454 65.10916:15235 66.11543:47379 67.12316:5092 68.13107:145363 68.64165:1867 69.13729:291630 70.51451:1673 81.94799:1722 83.0559:5885 84.0577:2006 84.06363:5183 88.95261:2071 93.57186:2116 112.03927:2914 112.05058:6150 112.05865:9623 112.15714:355853	[M+H]+	112.1573	485
486	195690832.0	5.157542	50.15669:154615 51.09515:412839 56.79742:161311 64.10286:436795 66.1154:3300629 66.93275:182619 68.12955:899450 69.13731:19397324 72.92117:216513 76.87504:199614 97.37072:198770 113.16338:46001680	[M+H]+	113.1632	486
487	9816657.0	5.157542		[M+H]+	114.1666	487
488	580120.625	5.157542		[M+H]+	115.1675	488
489	5622136.5	5.166301	51.72298:4946 55.93459:173528 56.94239:553228 57.34535:4827 66.15854:4997 68.78925:4793 71.92953:6293 72.93712:679682 74.9528:10337 90.94765:245873 93.70987:6964 98.07133:8098	[M+H]+	97.96867	489
490	2807709.25	5.166301	55.93457:175329 56.87492:4816 56.94238:472361 57.93495:19878 57.94282:8601 72.42896:5457 72.93712:547451 73.93758:15199 74.95298:6709 86.82528:4473 90.94766:225487 98.07127:7898 98.09605:6061 98.62065:4784 98.98405:7679	[M+H]+	98.51193	490
491	327914.875	5.166301		[M+H]+	107.1257	491
492	342342.0625	5.173857		[M+H]+	89.50657	492
493	349742.875	5.173857	50.85632:1220 56.82607:1270 58.06538:6888 60.08092:9143 62.92915:307735 80.93945:2711 93.55345:1165 94.94543:1250 95.42032:1209 96.39467:1206 98.95002:2898 103.95624:2400 104.10684:24737	[M]+	104.1068	493
494	26813394.0	5.173857	55.93459:370875 56.03704:21710 56.94236:2199280 69.18745:20033 72.60408:23711 72.9371:2080458 74.95291:60080 75.12425:24651 75.79485:28808 90.94762:795788 99.94778:31926 106.94235:48286 107.95081:28694 108.69205:19290 108.95818:94615 113.96356:1910078 118.94212:63693 118.96769:28133 125.96055:35896 130.96625:34224 131.97412:903324 136.9532:88320 139.48988:27420	[M+H]+	141.9584	494
495	15325877.0	5.173857	53.03898:10883 54.03407:8504 67.04162:3668 68.03704:6077 68.0496:26957 69.04484:5551 70.06519:3778 80.04947:31217 81.04478:15652 82.05247:35549 83.91157:3963 93.04473:9526 94.05254:196569 95.06033:257593 96.06841:10959 97.03976:8343 97.0759:6338 99.01523:3255 106.05247:7189 107.06033:128978 107.0685:6625 108.06756:6246 110.08388:14183 111.05562:3554 118.43203:3868 122.08394:29432 123.09161:637345 124.06318:47919 124.09948:4066 125.07086:36107 125.10724:5960 135.09161:126445 153.10214:990748	[M+H]+	153.1021	495
496	1404033.5	5.173857		[M+H]+	154.1054	496
497	3957393.75	5.173857	54.93756:4327 55.93458:149794 56.94238:87958 64.24552:3211 72.93713:398836 74.95287:12393 90.94768:188605 95.14788:4021 108.9584:25901 113.96352:11999 118.94246:25373 136.95264:16949 144.86899:5001 162.87766:4985 164.10397:4062 172.86342:7605 179.88037:8537 180.88795:201442 184.72717:3549 190.87289:8580 195.87512:17816 196.88161:8634 197.8907:182269 198.89865:60058 201.8658:9073 203.90425:10440 208.88289:349663 210.8866:3931 213.8853:39657 214.89342:26757 215.90123:176219 219.87563:12905 220.90663:10757 225.88519:9436 226.89331:661494 231.89867:36407 236.87749:97614 238.91687:7206 246.86169:38974 249.90916:38990 251.86325:4522 254.88815:133283 259.89343:12668 264.87262:646484 265.875:4067 269.87485:6893 277.90515:9826 282.88303:414297 287.85349:7455 287.88788:61614	[M+H]+	287.8885	497
498	776670.375	5.192492		[M+H]+	61.01073	498
499	28181022.0	5.192492	53.00243:88196 53.99762:23835 55.05447:38821 55.93446:23253 61.01078:2961139 72.93704:100025 74.01843:27494 87.00391:114491 89.04191:1721043	[M+H]+	89.04182	499
500	1662318.25	5.192492	54.00596:2175 55.93458:18904 57.93515:2033 61.01073:32213 62.0102:9841 62.01413:31318 62.01747:2854 66.49125:1964 70.23826:1469 71.92948:3409 72.08073:2269 72.93711:71079 73.7442:1324 74.97273:1447 75.49603:9615 75.79791:1514 76.46531:1270 77.99866:6745 83.98495:1349 84.50137:3225 87.00397:86957 87.50562:7268 88.00438:4865 88.99824:1306 89.50685:3734 90.04558:31550	[M+H]+	90.0452	500
501	1458709.75	5.192492		[M+H]+	91.03765	501
502	20462848.0	5.192492	55.05445:37717 58.06528:80303 58.84912:16593 61.01077:907791 61.01437:43729 64.92738:117621 74.79791:17469 79.71686:18616 89.0419:2123351 106.06827:30978	[M+H]+	106.0684	502
503	1126160.0	5.192492		[M+H]+	107.0717	503
504	939481.625	5.192492		[M+H]+	108.0642	504
505	6974612.0	5.250778	51.94:6074 53.00242:7621 55.05437:5863 61.19696:5568 67.04099:5101 68.04956:7420 71.08534:23945 82.06482:6205 95.06023:20398 95.62779:4792 107.06034:12906 109.07572:12123 119.06007:6066 120.06785:22973 121.07595:18783 123.05508:60647 124.0634:6109 126.07883:14081 135.0551:24008 136.06281:14834 137.07175:11235 137.53905:5614 149.07097:49855 153.06558:17552 154.07307:37814 155.08144:61593 167.08142:20535 169.09703:20603 185.09172:162574 224.15067:11212 225.15938:64689 255.17007:1091019	[M+H]+	255.1702	505
506	957207.1875	5.250778		[M+H]+	256.1735	506
507	3926881.0	5.261161	63.83384:10969 64.10282:223835 65.10614:15374 66.11539:1035491 67.11874:58461 68.12948:324680 68.13347:24001 69.13728:6254508 70.13412:48909 70.14062:359532 72.85699:12128 72.93713:33521 81.25507:12185 88.48291:10399 90.94762:17253 95.15285:24374 113.16334:12796747 114.0914:26717 114.1669:1728162	[M+H]+	113.9636	507
508	138273.1875	5.27155		[M+H]+	179.1178	508
509	247317.3125	5.27155		[M+H]+	182.0812	509
510	1189883.0	5.303497	50.31741:1737 52.94025:1872 53.03889:3670 55.05452:4279 56.04974:2045 57.07006:7697 57.93517:2913 58.00412:1517 58.06529:33242 60.04469:2370 62.06012:24650 65.03855:2296 67.05419:16032 69.06976:2871 73.02841:3649 79.05418:18815 81.06981:93705 82.06509:1641 84.0807:78476 85.06471:8200 86.02374:1929 93.06986:2708 95.08545:11248 101.02329:5034 102.09125:384408 121.10093:2087 123.11667:87113 128.10678:14417 164.451:1522 184.16968:4393 240.73172:1609 241.14337:2129 302.19568:394712 302.30371:5734	[M+H]+	302.1961	510
511	190595.375	5.303497		[M+H]+	303.1994	511
512	142213.0	5.314952		[M+H]+	243.1161	512
513	635968.125	5.324544		[M+H]+	158.1175	513
514	987701.0625	5.366965	53.03881:2580 55.05453:2498 58.0655:1367 59.07318:1255 62.64175:1534 66.0339:2527 68.04956:1793 80.04941:10932 81.04514:1764 81.05746:3331 82.06503:2997 83.57872:1296 83.98735:1407 94.05244:5734 94.06503:3620 95.06033:11134 107.06027:8518 108.04436:2087 108.06813:26722 109.07622:7970 110.08363:2648 121.07593:13262 122.08368:28036 123.09158:197831 125.07112:7830 135.09154:44442 138.07838:8527 153.10214:217010 153.13895:3860	[M+H]+	153.1021	514
515	13260511.0	5.375097	60.0978:12836 66.034:63121 83.06031:525325 84.04443:28436 107.06045:91032 120.72443:10999 124.08689:3015656	[M+H]+	124.0868	515
516	220353.0	5.38625		[M+H]+	283.1075	516
517	6848117.0	5.406142	50.01539:8557 51.02318:26752 53.03875:97319 53.04139:7501 53.19392:4908 53.82186:3918 55.01805:7663 55.93444:21945 56.94249:9118 57.26137:3455 57.93494:16271 72.93708:30618 73.93749:7904 77.03844:24625 79.05418:304942 81.03347:10740 90.94753:14566 95.04906:168441 103.04597:6070 103.05412:232091 105.04497:43687 105.06976:1567939 123.05578:6152 148.85884:4309 149.07066:7906 180.88803:8705 181.88918:8995 197.87379:5285 197.89142:11113 198.89185:4618 208.88336:14642 209.88495:17474 215.90166:4558 216.901:7137 217.90233:6403 226.89372:31162 227.89388:29978 243.11967:4309 244.88829:8320 254.88916:7348 259.14398:9307 264.87292:9717 265.87509:38963 266.87347:15962 282.88275:9249 283.88498:24622 284.88376:13118 289.15417:1295076	[M+Na]+	289.1544	517
518	1156724.75	5.406142		[M+Na]+	290.1579	518
519	100367.0625	5.406142		[M+Na]+	291.1605	519
520	466685.5625	5.425675		[M+H]+	269.1858	520
521	116621.375	5.449092		[M+H]+	241.0969	521
